modal,regiao,endereco_retirada,data_hora
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, NOVA IGUACU, RIO DE JANEIRO, Brazil",2020-06-15 12:16:53.386
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, NOVA IGUACU, RIO DE JANEIRO, Brazil",2020-06-15 16:12:13.412
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-06-15 16:36:23.451
BICYCLE,NOVA IGUACU,"Av José Mariano dos passos, 360, PARQUE BARBARA, NOVA IGUACU, Brazil",2020-06-15 19:08:41.356
BICYCLE,NOVA IGUACU,"RUA ESCORPIAO, 38, ANDRADE ARAUJO, NOVA IGUACU, Brazil",2020-06-15 21:30:10.575
BICYCLE,NOVA IGUACU,"Rua Marcelino Lópes, 231, Andrade Araujo, BELFORD ROXO, Brazil",2020-06-16 21:42:15.433
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, NOVA IGUACU, RIO DE JANEIRO, Brazil",2020-06-18 11:52:31.511
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, NOVA IGUACU, RIO DE JANEIRO, Brazil",2020-06-18 13:08:18.407
BICYCLE,NOVA IGUACU,"Avenida Benjamin Pinto Dias, 1130, Centro, BELFORD ROXO, Brazil",2020-06-18 13:42:29.865
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-06-18 20:24:35.807
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-06-18 20:41:01.183
BICYCLE,NOVA IGUACU,"Rua Maria Leopoldina, 667, Prata, NOVA IGUACU, Brazil",2020-06-18 22:17:12.037
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, NOVA IGUACU, RIO DE JANEIRO, Brazil",2020-06-18 23:51:51.525
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, NOVA IGUACU, RIO DE JANEIRO, Brazil",2020-06-19 11:27:41.616
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, NOVA IGUACU, RIO DE JANEIRO, Brazil",2020-06-19 11:32:09.550
BICYCLE,NOVA IGUACU,"RODOVIA PRESIDENTE DUTRA, 14000, JD TROPICAL, NOVA IGUACU, Brazil",2020-06-19 12:34:01.686
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-06-20 20:11:40.586
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-06-20 20:40:47.499
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-06-20 21:48:36.530
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, NOVA IGUACU, RIO DE JANEIRO, Brazil",2020-06-21 10:58:33.386
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-06-21 11:21:05.647
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-06-21 11:34:20.156
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-06-21 13:01:18.287
BICYCLE,NOVA IGUACU,"Rua Carolina Ferreira, 192, Centro, BELFORD ROXO, Brazil",2020-06-21 13:48:38.737
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-06-21 20:51:05.828
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-09-08 18:07:11.892
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-09-08 18:21:51.298
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, NOVA IGUACU, RIO DE JANEIRO, Brazil",2020-09-21 09:43:10.556
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-09-21 18:35:53.702
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-09-21 18:54:29.326
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-09-21 19:49:36.638
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-09-24 19:31:16.520
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-09-24 20:13:55.489
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-09-25 23:19:06.354
BICYCLE,NOVA IGUACU,"RODOVIA PRESIDENTE DUTRA, 14000, JD TROPICAL, NOVA IGUACU, Brazil",2020-09-26 13:02:13.016
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-09-26 14:33:04.862
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-09-26 15:18:00.947
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-09-27 18:49:01.077
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-09-27 19:47:06.335
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-09-27 19:51:25.729
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-09-27 20:38:58.847
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-09-27 20:39:12.324
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, NOVA IGUACU, RIO DE JANEIRO, Brazil",2020-09-27 21:36:46.423
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-09-27 22:21:23.031
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-07 12:02:32.753
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-07 12:15:34.376
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-07 19:23:22.247
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-07 20:20:45.627
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-08 13:24:37.109
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-08 13:31:50.472
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-08 14:20:50.143
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-08 15:17:38.220
