artista,musica,tempo,data
Os Barões Da Pisadinha,Boleto da Casa (Ao Vivo),137382,2021-05-10 23:59:00
Zé Vaqueiro,Volta Comigo BB,210731,2021-05-11 00:03:00
Jonas Esticado,Isca,162967,2021-05-11 00:05:00
Israel & Rodolffo,Só de Sacanagem - Ao Vivo,183695,2021-05-11 00:09:00
Diego & Arnaldo,Falei pra Tu,192065,2021-05-11 00:12:00
Wesley Safadão,Confidencial,171379,2021-05-11 00:15:00
Dj Guuga,"Volta Bebê, Volta Neném",172972,2021-05-11 00:17:00
Tarcísio do Acordeon,Meia Noite (Você tem meu Whatsapp),237900,2021-05-11 00:21:00
DJ Ivis,Deixa Eu Ser o Teu Amor,179799,2021-05-11 00:24:00
Jorge & Mateus,Namorando Com Saudade,174081,2021-05-11 00:27:00
Xand Avião,Algo Mais (Amante) - Ao Vivo,231680,2021-05-11 00:31:00
Os Barões Da Pisadinha,Fala Comigo Bebê - Ao Vivo,150933,2021-05-11 00:34:00
Matheus Fernandes,Baby Me Atende,225671,2021-05-11 00:37:00
Vitor Fernandes,Acaso,200890,2021-05-11 00:41:00
Israel & Rodolffo,Fulana - Ao Vivo,190778,2021-05-11 00:44:00
Diego & Victor Hugo,Foto Não é Fato - Ao Vivo,166759,2021-05-11 00:47:00
Jorge & Mateus,Hit do Ano,154848,2021-05-11 00:49:00
DJ Ivis,Esquema Preferido (feat. Tarcísio do Acordeon),190680,2021-05-11 00:53:00
Th CDM,Preta do Cabelo Cacheado,87286,2021-05-11 00:54:00
DJ Ivis,Esquema Preferido (feat. Tarcísio do Acordeon),190680,2021-05-11 00:57:00
Th CDM,Preta do Cabelo Cacheado,158531,2021-05-11 01:00:00
Os Barões Da Pisadinha,Esquema Preferido - Ao Vivo,201973,2021-05-11 01:04:00
Malu,Disco Arranhado - Funk Remix,376,2021-05-11 01:05:00
Mc Davi,Bipolar,2158,2021-05-11 01:05:00
Mc Davi,Bipolar,3439,2021-05-11 01:05:00
Israel & Rodolffo,Batom de Cereja - Ao Vivo,3329,2021-05-11 01:05:00
Malu,Disco Arranhado - Funk Remix,7636,2021-05-11 01:06:00
Jorge & Mateus,Paradigmas,53274,2021-05-11 01:09:00
Raí Saia Rodada,Tapão Na Raba,175046,2021-05-11 01:09:00
Os Barões Da Pisadinha,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,6743,2021-05-11 01:10:00
Os Barões Da Pisadinha,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,2508,2021-05-11 01:10:00
Wesley Safadão,"Ele É Ele, Eu Sou Eu",17574,2021-05-11 01:10:00
Mc Davi,Bipolar,619,2021-05-11 01:10:00
Israel & Rodolffo,Batom de Cereja - Ao Vivo,604,2021-05-11 01:10:00
Xand Avião,Não Pode Se Apaixonar,2477,2021-05-11 01:10:00
Fernando & Sorocaba,Só Não Divulga,6439,2021-05-11 01:10:00
Th CDM,Preta do Cabelo Cacheado,3132,2021-05-11 01:13:00
Mc Poze do Rodo,Vida Louca,155675,2021-05-11 01:13:00
DENNIS,Deixa de Onda (Porra Nenhuma),184999,2021-05-11 01:16:00
Matheus Fernandes,Baby Me Atende,25084,2021-05-11 01:16:00
Israel & Rodolffo,Só de Sacanagem - Ao Vivo,2690,2021-05-11 01:17:00
Tarcísio do Acordeon,Meia Noite (Você tem meu Whatsapp),5316,2021-05-11 01:17:00
Hugo & Guilherme,Coração Na Cama - Ao Vivo,2115,2021-05-11 01:17:00
Simone & Simaria,Foi Pá Pum,13329,2021-05-11 01:17:00
Jorge & Mateus,Lance Individual,10908,2021-05-11 01:17:00
Vitor Fernandes,Acaso,19209,2021-05-11 01:17:00
Zé Neto & Cristiano,Alô Ambev (Segue Sua Vida) - Ao Vivo,16667,2021-05-11 01:18:00
Vitor Fernandes,Vou falar que não quero,2575,2021-05-11 01:18:00
Matheus & Kauan,É Problema,5081,2021-05-11 01:18:00
Zé Vaqueiro,Volta Comigo BB,4255,2021-05-11 01:18:00
Kawe,Mds,125142,2021-05-11 01:20:00
Bruno & Marrone,Último Beijo,18056,2021-05-11 01:23:00
Teto,M4,170000,2021-05-11 01:23:00
Tz da Coronel,Anota Placa,3923,2021-05-11 01:24:00
Marília Mendonça,Troca de Calçada,3266,2021-05-11 01:24:00
L7NNON,Freio da Blazer,180000,2021-05-11 01:27:00
DJ Matt D,Tipo Gringa,114143,2021-05-11 01:29:00
Kawe,Mds,132,2021-05-11 01:29:00
Teto,Paypal,4823,2021-05-11 01:29:00
KayBlack,A Cunhada,2713,2021-05-11 01:29:00
Filipe Ret,F* F* M*,2521,2021-05-11 01:29:00
KayBlack,A Cunhada,167937,2021-05-11 01:32:00
Kawe,Mds,60030,2021-05-11 01:33:00
Abbot,Hylander,4360,2021-05-12 16:32:00
Teto,M4,43348,2021-05-12 16:32:00
Teto,M4,0,2021-05-12 16:32:00
Abbot,Hylander,1313,2021-05-12 16:35:00
Teto,M4,386,2021-05-12 16:35:00
Teto,M4,169251,2021-05-12 16:35:00
Abbot,Hylander,12120,2021-05-12 16:36:00
MC Caverinha,Meu Corre,3800,2021-05-12 16:36:00
Jovem Dex,Fogo,2083,2021-05-12 16:36:00
Jovem Dex,Fogo,290,2021-05-12 16:36:00
Kawe,Mds,123428,2021-05-12 16:38:00
Jé Santiago,Tt,2922,2021-05-12 16:40:00
Jé Santiago,Tt,694,2021-05-12 16:40:00
Teto,M4,153580,2021-05-12 16:40:00
Matuê,Máquina do Tempo,1823,2021-05-12 16:41:00
Jé Santiago,Tt,11134,2021-05-12 16:41:00
KayBlack,Panamera,3322,2021-05-12 16:41:00
MC Cabelinho,OUTRO PATAMAR,3263,2021-05-12 16:41:00
UCLÃ,21,1660,2021-05-12 16:41:00
Matuê,Máquina do Tempo,62097,2021-05-12 16:45:00
Evanescence,Everybody's Fool,195880,2021-05-13 17:40:00
Lynyrd Skynyrd,Free Bird,11394,2021-05-13 17:43:00
Evanescence,Lithium,224106,2021-05-13 17:43:00
Evanescence,Bring Me To Life,235893,2021-05-13 17:47:00
Evanescence,Bring Me To Life,4432,2021-05-13 17:49:00
Evanescence,My Immortal,103699,2021-05-13 17:49:00
Evanescence,Going Under,214946,2021-05-13 17:53:00
Evanescence,Call Me When You're Sober,16681,2021-05-13 17:54:00
Teto,M4,30028,2021-05-13 17:58:00
Teto,M4,2717,2021-05-13 17:58:00
Teto,M4,319271,2021-05-13 18:06:00
Abbot,Hylander,8605,2021-05-13 18:07:00
Matuê,777-666,0,2021-05-13 18:07:00
Jovem Dex,Fogo,1970,2021-05-13 18:07:00
L7NNON,Freio da Blazer,6074,2021-05-13 18:09:00
Matuê,777-666,119946,2021-05-13 18:09:00
Matuê,777-666,56466,2021-05-13 18:10:00
SD9,40°.40,11635,2021-05-13 18:12:00
Matuê,777-666,5008,2021-05-13 18:12:00
Jovem Dex,Fogo,134738,2021-05-13 18:12:00
Thxuzz,Sosa Jr,8223,2021-05-13 18:13:00
SD9,40°.40,66006,2021-05-13 18:14:00
Sant,Ensaio Sobre a Lucidez,740,2021-05-13 18:14:00
Rashid,Diário de Bordo 6,15140,2021-05-13 18:14:00
Teto,Paypal,135213,2021-05-13 18:16:00
Rashid,Diário de Bordo 6,265763,2021-05-13 21:40:00
Mc Poze do Rodo,Vida Louca,1652,2021-05-13 21:40:00
Djonga,Xapralá,2278,2021-05-13 21:41:00
PAPATRACKS,Jogando pra Tropa (Papatracks #5),1346,2021-05-13 21:41:00
Filipe Ret,Não Desista Agora,1285,2021-05-13 21:41:00
Sant,OPRES,234960,2021-05-13 21:44:00
Salvador Da Rima,Porta Voz,2145,2021-05-13 21:45:00
Haikaiss,No Toque da Meca,6319,2021-05-13 21:45:00
Febem,ME PAGA (feat. Djonga),3535,2021-05-13 21:45:00
Sant,Ensaio Sobre a Lucidez,3169,2021-05-13 21:45:00
Pedro Lotto,Do Lixo ao Luxo,2569,2021-05-13 21:45:00
MC Cabelinho,OUTRO PATAMAR,1927,2021-05-13 21:45:00
Mac Júlia,Jogo Sujo,2273,2021-05-13 21:45:00
Teto,Paypal,1157,2021-05-13 21:45:00
LUDMILLA,Gato Siamês,1741,2021-05-13 21:45:00
Pineapple StormTv,Perfil #85: Nego Livre,6258,2021-05-13 21:45:00
Salvador Da Rima,19 Anos,3700,2021-05-13 21:45:00
Sest,Suíte 14 (feat. Djonga),5068,2021-05-13 21:45:00
Costa Gold,O Pai Tá On,2573,2021-05-13 21:45:00
Murica,Coral e Cascavel,130536,2021-05-13 21:48:00
MV Bill,Nóiz Mermo,271023,2021-05-13 21:52:00
MV Bill,Nossa Lei,8944,2021-05-13 21:53:00
BK,Filho do Fim do Mundo,31627,2021-05-13 21:54:00
Rashid,E Se,273320,2021-05-13 21:58:00
BK,Movimento,6153,2021-05-13 21:59:00
Kamau,Evolução na Locução,2839,2021-05-13 21:59:00
MOB79,Atleta do Ano - Remix,1313,2021-05-13 21:59:00
Sidoka,Importante,20995,2021-05-13 21:59:00
ConeCrewDiretoria,Doce Doce,2530,2021-05-13 21:59:00
Rashid,Coisas Dessa Vida,139020,2021-05-13 22:01:00
BK,Top Boys,193834,2021-05-13 22:05:00
ConeCrewDiretoria,Homenagem à liberdade,18191,2021-05-13 22:05:00
UCLÃ,Fiu Fiu,2819,2021-05-13 22:05:00
Edi Rock,That's My Way,2003,2021-05-13 22:05:00
Don L,Fazia Sentido,24586,2021-05-13 22:05:00
Teto,M4,475975,2021-05-14 12:39:00
MC Caverinha,Meu Corre,149364,2021-05-14 12:41:00
Jovem Dex,Fogo,118985,2021-05-14 12:43:00
KayBlack,Vivências,4261,2021-05-14 12:44:00
UCLÃ,Gatinha,3804,2021-05-14 12:44:00
KayBlack,Fio a Fio,53813,2021-05-14 12:44:00
Matuê,777-666,5770,2021-05-14 12:44:00
DJ Matt D,Set 2.0: Homenagem aos Relíquias,5863,2021-05-14 12:44:00
Tropa do Bruxo,Oclin e Evoque,3160,2021-05-14 12:44:00
Kawe,Brilho,4933,2021-05-14 12:48:00
Abbot,Hylander,3216,2021-05-14 12:48:00
Jovem Dex,Tapa,28108,2021-05-14 12:48:00
Yunk Vino,30 Dias,219848,2021-05-14 12:48:00
Orochi,Fiquei Rico Cedo,3704,2021-05-14 12:48:00
Jovem Dex,Chanel,3959,2021-05-14 12:49:00
Sidoka,Me Equivoquei,3406,2021-05-14 12:49:00
Salvador Da Rima,Vergonha pra Midia,5412,2021-05-14 12:49:00
NGC Daddy,Bendito,3913,2021-05-14 12:49:00
ConeCrewDiretoria,Sem planta,8289,2021-05-14 12:50:00
Kyan,Preto e Dinheiro,3192,2021-05-14 12:50:00
Racionais MC's,Estilo Cachorro,133240,2021-05-14 12:52:00
ADL,Favela Vive,349767,2021-05-14 12:58:00
Dexter,Eu Sô Função,2284,2021-05-14 12:58:00
BK,Castelos & Ruínas,249490,2021-05-14 13:02:00
Criolo,É o Teste,279720,2021-05-14 13:07:00
Sabotage,Canão Foi Tão Bom,1514,2021-05-14 13:08:00
MC Igu,223,34803,2021-05-14 13:08:00
Rincon Sapiência,Ponta de Lança (Verso Livre),2376,2021-05-14 13:08:00
Rashid,Bilhete 2.0 (feat. Luccas Carlos),2947,2021-05-14 13:08:00
Rappin' Hood,Rap du Bom Parte II - Mús. Incid.: Odara,1679,2021-05-14 13:08:00
Marcelo D2,Desabafo / Deixa Eu Dizer,1909,2021-05-14 13:09:00
Marcelo D2,Desabafo / Deixa Eu Dizer,1624,2021-05-14 13:09:00
Rodrigo Ogi,Profissão Perigo,78857,2021-05-14 13:09:00
Mc Marechal,Primeiro de Abril,5481,2021-05-14 13:09:00
Emicida,Triunfo (A Rua É Nóiz),1226,2021-05-14 13:09:00
Emicida,Triunfo (A Rua É Nóiz),209373,2021-05-14 13:13:00
Planet Hemp,Mantenha o Respeito,16622,2021-05-14 13:15:00
BK,Antes dos Gigantes Chegarem,3375,2021-05-14 13:15:00
Kawe,Mds,125142,2021-05-14 13:15:00
MC Igu,Bolso**,2385,2021-05-14 13:15:00
Ndee Naldinho,O 5° Vigia,1745,2021-05-14 13:16:00
Bruxo 021,Nota de 200,2458,2021-05-14 13:16:00
Sant,OPRES,9442,2021-05-14 13:16:00
Xis,Us Mano e as Mina,1224,2021-05-14 13:16:00
Sabotage,Respeito É pra Quem Tem,1459,2021-05-14 13:16:00
Criolo,Subirusdoistiozin,2592,2021-05-14 13:16:00
Rashid,Diário de Bordo 6,2992,2021-05-14 13:16:00
ConeCrewDiretoria,Chama os mulekes,2415,2021-05-14 13:16:00
Rappin' Hood,Zé Brasileiro,4578,2021-05-14 13:16:00
De Leve,Vai vendo,2646,2021-05-14 13:16:00
Nandx710,Meu Lado da História,8203,2021-05-14 13:16:00
Racionais MC's,Tempos Difíceis,2162,2021-05-14 13:17:00
Consciência Humana,Lei da Periferia,20655,2021-05-14 13:17:00
UCLÃ,21,9862,2021-05-14 13:17:00
slipmami,acha que a vida é um morango,1846,2021-05-14 13:20:00
Rincon Sapiência,Linhas de Soco,205048,2021-05-14 13:20:00
Kamau,Só,160212,2021-05-14 13:23:00
Dropallien,Alotrópico,1464,2021-05-14 13:23:00
Eloy Polemico,Ouro de Tolo,254214,2021-05-14 13:27:00
MV Bill,Nóiz Mermo,46924,2021-05-14 13:28:00
MV Bill,Nóiz Mermo,79581,2021-05-14 14:00:00
509-E,Uh Barato É Louco,2347,2021-05-14 14:00:00
RZO,"Pirituba, Pt. 1",1741,2021-05-14 14:18:00
Tz da Coronel,Anota Placa,4517,2021-05-15 23:49:00
Orochi,Lobo,5051,2021-05-15 23:49:00
L7NNON,Freio da Blazer,5027,2021-05-15 23:49:00
Jovem Dex,Money Rain,11678,2021-05-15 23:49:00
Mc Poze do Rodo,Vida Louca,4726,2021-05-15 23:49:00
DJ Matt D,Tipo Gringa,10885,2021-05-15 23:51:00
Teto,M4,170000,2021-05-15 23:54:00
Teto,Paypal,34038,2021-05-15 23:55:00
Kawe,Mds,125142,2021-05-15 23:57:00
Kawe,Iluminado,768,2021-05-16 00:13:00
Kawe,Iluminado,93777,2021-05-22 15:48:00
Hungria Hip Hop,Legacy,4008,2021-05-22 15:51:00
L7NNON,Mais Que Isso,18468,2021-05-22 15:51:00
Rincon Sapiência,Cotidiano,172727,2021-05-22 15:51:00
Haikaiss,No Toque da Meca,2939,2021-05-22 15:52:00
Tribo da Periferia,Resiliência,3101,2021-05-22 15:52:00
Froid,Kyoto,186709,2021-05-22 15:55:00
Kayuá,Celebrar,240000,2021-05-22 15:59:00
Rashid,Diário de Bordo 6,265763,2021-05-22 16:03:00
Mc Poze do Rodo,Vida Louca,155675,2021-05-22 16:06:00
Djonga,Xapralá,228631,2021-05-22 16:10:00
Felp 22,157,141333,2021-05-22 16:12:00
Sanza,Ondatop,172740,2021-05-22 16:15:00
PAPATRACKS,Jogando pra Tropa (Papatracks #5),192786,2021-05-22 16:18:00
Sain,Iori Incorporado,166057,2021-05-22 16:21:00
Sant,OPRES,234960,2021-05-22 16:25:00
Pineapple StormTv,Perfil #85: Nego Livre,1142,2021-05-22 16:28:00
Filipe Ret,F* F* M*,176000,2021-05-22 16:28:00
Pelé MilFlows,Devo Nada Pra Ninguém,3219,2021-05-22 16:28:00
Costa Gold,O Pai Tá On,1688,2021-05-22 16:28:00
MV Bill,Nóiz Mermo,271023,2021-05-22 16:32:00
Sest,Suíte 14 (feat. Djonga),230839,2021-05-22 16:36:00
Salvador Da Rima,Porta Voz,69401,2021-05-22 16:37:00
MC Cabelinho,OUTRO PATAMAR,9017,2021-05-22 16:38:00
LUDMILLA,Gato Siamês,1021,2021-05-22 16:38:00
Fleezus,Eu Ainda,1783,2021-05-22 16:38:00
Febem,ME PAGA (feat. Djonga),0,2021-05-22 16:40:00
Sant,Ensaio Sobre a Lucidez,141935,2021-05-22 16:40:00
Mac Júlia,Jogo Sujo,1598,2021-05-22 16:40:00
Teto,Paypal,10609,2021-05-22 16:40:00
Costa Gold,Ai Bebê,1762,2021-05-22 16:41:00
Costa Gold,Ciclone,2376,2021-05-22 16:41:00
Criolo,Sistema Obtuso,5735,2021-05-22 16:41:00
Kawe,Mandelão,3129,2021-05-22 16:41:00
Pedro Lotto,Do Lixo ao Luxo,1769,2021-05-22 16:41:00
Marginal Supply,A Fila Anda,1814,2021-05-22 16:41:00
Papatinho,Final de Semana,1268,2021-05-22 16:41:00
Orochi,Fiquei Rico Cedo,0,2021-05-22 16:41:00
Sabotage,Monstro Invisível,1957,2021-05-22 16:41:00
Cabal,Mete Marcha,2041,2021-05-22 16:41:00
Jhony Mc,Minha Cor Vai Viver,1869,2021-05-22 16:41:00
Black Alien,Chuck Berry,170627,2021-05-22 16:44:00
BIN,Saturno,186947,2021-05-22 16:47:00
Garganta Negra,Mil Perdões,33071,2021-05-22 16:48:00
BK,Mudando o Jogo,157270,2021-05-22 16:50:00
JayA Luuck,Praya,36822,2021-05-22 16:51:00
Marcelo Falcão,Céu Aberto,2345,2021-05-22 16:51:00
Cynthia Luz,Campo Minado,1744,2021-05-22 16:51:00
ADL,Favela Vive 4,1731,2021-05-22 16:51:00
Mainstreet,Assault (Angra),1648,2021-05-22 16:51:00
L7NNON,Nada é pra sempre,2479,2021-05-22 16:51:00
Febem,MÉXICO,1735,2021-05-22 16:51:00
Sagaz,Noua,1803,2021-05-22 16:51:00
Kawe,De 90 pra Cá,1962,2021-05-22 16:51:00
Papatinho,Lance Criminoso (feat. BK),2274,2021-05-22 16:51:00
Kyan,Preto e Dinheiro,664,2021-05-22 16:51:00
Tropa do Bruxo,Oclin e Evoque,1135,2021-05-22 16:51:00
BIN,Quase uma Semana,1774,2021-05-22 16:51:00
Rincon Sapiência,Tem Que Tá Veno (Verso Livre),1542,2021-05-22 16:51:00
Pineapple StormTv,Poesia Acústica 10: Recomeçar,1518,2021-05-22 16:51:00
Kant,Click Clack Bum,2372,2021-05-22 17:08:00
Drake,What’s Next,4732,2021-05-26 14:19:00
SpotemGottem,Beat Box 3 (feat. DaBaby),2247,2021-05-26 14:19:00
Future,Life Is Good (feat. Drake),4641,2021-05-26 14:19:00
Internet Money,Lemonade,6746,2021-05-26 14:19:00
Lil Nas X,HOLIDAY,151806,2021-05-26 14:21:00
Baby Keem,durag activity (with Travis Scott),109745,2021-05-26 14:23:00
Rincon Sapiência,Fé no Jogo,11981,2021-05-26 14:25:00
Julio Secchin,Jovem,4919,2021-05-26 14:25:00
Criolo,Lion Man,205440,2021-05-26 14:28:00
FBC,Auto Ajuda,170649,2021-05-26 14:31:00
Black Alien,Vai Baby,12503,2021-05-26 14:31:00
Rincon Sapiência,A Coisa Tá Preta,2739,2021-05-26 14:32:00
Planet Hemp,Dig Dig Dig (Hempa),2432,2021-05-26 14:32:00
Don L,Aquela Fé,2483,2021-05-26 14:32:00
Criolo,Sucrilhos,240226,2021-05-26 14:36:00
Rincon Sapiência,Mundo Manicongo - A COLORS SHOW,2793,2021-05-26 14:38:00
Black Alien,Au Revoir,2936,2021-05-26 14:38:00
Edi Rock,Um Novo Amanhã,5855,2021-05-26 14:38:00
Sabotage,Cantando pro Santo,3808,2021-05-26 14:38:00
MV Bill,Soldado do Morro,112078,2021-05-26 14:38:00
Criolo,Esquiva da Esgrima,223873,2021-05-26 14:42:00
Rashid,Vício,3582,2021-05-26 14:42:00
Flora Matos,ÁGUA DE CÔCO,4131,2021-05-26 14:42:00
Rincon Sapiência,Bon Voyage (Crioulo em Paris),2290,2021-05-26 14:42:00
Rincon Sapiência,Mete Dança (Verso Livre),1635,2021-05-26 14:46:00
Rico Dalasam,Braille,6439,2021-05-26 14:46:00
Emicida,Baiana,233320,2021-05-26 14:46:00
Baco Exu do Blues,Tardes Que Nunca Acabam,25060,2021-05-26 14:50:00
Criolo,Boca de Lobo,227046,2021-05-26 14:50:00
Rincon Sapiência,Hoje Tem Batuque,2324,2021-05-26 14:50:00
Nill,Nego Drama Pt. II,2367,2021-05-26 14:50:00
Akira Presidente,Double Cup,12979,2021-05-26 14:50:00
Planet Hemp,Legalize Já - Versão 2017,1482,2021-05-26 14:50:00
Criolo,Duas de Cinco,101463,2021-05-26 14:54:00
Black Alien,Rolo Compressor,1012,2021-05-26 14:55:00
Planet Hemp,Ex-Quadrilha da Fumaça,13406,2021-05-26 14:55:00
Black Alien,Carta Pra Amy,90,2021-05-26 14:55:00
Black Alien,Carta Pra Amy,15744,2021-05-26 14:55:00
Criolo,Cartão de Visita,22744,2021-05-26 14:55:00
MV Bill,Estilo Vagabundo,1204,2021-05-26 14:55:00
Baco Exu do Blues,Flamingos,2643,2021-05-26 14:55:00
Criolo,Duas de Cinco,631,2021-05-26 14:55:00
Rincon Sapiência,Estilo Maloca,8971,2021-05-26 14:55:00
Coruja Bc1,Éramos Tipo Funk,3539,2021-05-26 14:56:00
Rincon Sapiência,Sensação,2059,2021-05-26 14:56:00
ConeCrewDiretoria,"Rap, Cerva, Erva e Muita Larica",1657,2021-05-26 15:00:00
Flora Matos,TOCA DISCOS,2129,2021-05-26 15:00:00
Tassia Reis,Se Avexe Não,3216,2021-05-26 15:00:00
Rincon Sapiência,Sinfonia da Revolução,4571,2021-05-26 15:00:00
Nill,Minha Mulher Acha Que Eu Sou o Brad Pitt,2154,2021-05-26 15:00:00
Edi Rock,Abram-se os Caminhos,2312,2021-05-26 15:00:00
Rincon Sapiência,Resenha de Futebol,2868,2021-05-26 15:00:00
ConeCrewDiretoria,Chefe de Quadrilha,235540,2021-05-26 15:00:00
Black Alien,From Hell do Céu,1588,2021-05-26 15:00:00
Criolo,Grajauex,8285,2021-05-26 15:00:00
Sabotage,Monstro Invisível,6305,2021-05-26 15:00:00
Black Alien,Chuck Berry,986,2021-05-26 15:00:00
DJ Caique,Dia Chuvoso,3502,2021-05-26 15:00:00
Rincon Sapiência,Cotidiano,172727,2021-05-26 15:04:00
Criolo,Ainda Há Tempo,20021,2021-05-26 15:08:00
Flora Matos,MEDITO E ME ACALMO,1149,2021-05-26 15:08:00
Rincon Sapiência,Me Nota,195685,2021-05-26 15:08:00
Black Alien,Aniversário de Sobriedade,4979,2021-05-26 15:08:00
FBC,SE EU NÃO TE CANTAR,156647,2021-05-26 15:27:00
Pineapple StormTv,Poesia Acústica 10: Recomeçar,4027,2021-05-26 21:22:00
Teto,M4,103613,2021-05-26 21:25:00
KayBlack,Vivências,1284,2021-06-01 00:30:00
KayBlack,Fio a Fio,130,2021-06-01 00:30:00
KayBlack,Fio a Fio,1578,2021-06-01 00:30:00
Matuê,777-666,708,2021-06-01 00:30:00
Matuê,777-666,0,2021-06-01 00:30:00
Teto,M4,39659,2021-06-01 00:30:00
MC Caverinha,Meu Corre,4215,2021-06-01 00:30:00
Jovem Dex,Fogo,3100,2021-06-01 00:30:00
Jovem Dex,Fogo,72574,2021-06-01 00:31:00
KayBlack,Vivências,708,2021-06-01 00:32:00
KayBlack,Vivências,87,2021-06-01 00:32:00
Tz da Coronel,Corte do Jaca,0,2021-06-01 00:32:00
Tz da Coronel,Corte do Jaca,3792,2021-06-01 00:32:00
UCLÃ,Gatinha,1042,2021-06-01 00:32:00
KayBlack,Fio a Fio,4656,2021-06-01 00:32:00
Matuê,777-666,2507,2021-06-01 00:32:00
Matuê,777-666,161332,2021-06-01 00:34:00
KayBlack,Vivências,25727,2021-06-01 00:35:00
VMZ,Plutão,5422,2021-06-01 00:35:00
Kawe,Brilho,2450,2021-06-01 00:35:00
Abbot,Hylander,708,2021-06-01 00:35:00
Tz da Coronel,Corte do Jaca,708,2021-06-01 00:35:00
Sidoka,Me Equivoquei,2689,2021-06-01 00:35:00
Jovem Dex,Tapa,7063,2021-06-01 00:35:00
UCLÃ,Gatinha,3797,2021-06-01 00:35:00
Yunk Vino,30 Dias,4935,2021-06-01 00:35:00
Orochi,Fiquei Rico Cedo,2461,2021-06-01 00:35:00
DJ Matt D,Set 2.0: Homenagem aos Relíquias,1823,2021-06-01 00:35:00
Tropa do Bruxo,Oclin e Evoque,1986,2021-06-01 00:35:00
Jovem Dex,Chanel,1823,2021-06-01 00:36:00
Jé Santiago,Tt,5469,2021-06-01 00:36:00
Abbot,Hylander,15128,2021-06-01 00:36:00
Sidoka,Me Equivoquei,2984,2021-06-01 00:36:00
Salvador Da Rima,Vergonha pra Midia,1625,2021-06-01 00:36:00
Kyan,Preto e Dinheiro,708,2021-06-01 00:36:00
Jovem Dex,Chanel,0,2021-06-01 00:38:00
Jé Santiago,Tt,455,2021-06-01 00:38:00
Abbot,Hylander,0,2021-06-01 00:38:00
Sidoka,Me Equivoquei,0,2021-06-01 00:38:00
Salvador Da Rima,Vergonha pra Midia,0,2021-06-01 00:38:00
Orochi,Fiquei Rico Cedo,0,2021-06-01 00:38:00
Kyan,Preto e Dinheiro,0,2021-06-01 00:38:00
UCLÃ,21,117177,2021-06-01 00:38:00
Kawe,Brilho,27834,2021-06-01 00:39:00
Orochi,Fiquei Rico Cedo,0,2021-06-01 16:35:00
Kawe,Brilho,81962,2021-06-01 16:36:00
Rincon Sapiência,Cotidiano,172727,2021-06-01 16:39:00
Trilha Sonora do Gueto,Reflexões,10174,2021-06-01 16:43:00
Black Alien,Jamais Serão,2557,2021-06-01 16:43:00
Rincon Sapiência,Afro Rep,231120,2021-06-01 16:43:00
MV Bill,Estilo Vagabundo,20369,2021-06-01 16:43:00
Nill,Regras da Loja,713,2021-06-01 16:44:00
ConeCrewDiretoria,O mundo deu voltas,3608,2021-06-01 16:44:00
RZO,Paz Interior,9232,2021-06-01 16:44:00
Rincon Sapiência,Coisas de Brasil,161,2021-06-01 16:44:00
Rincon Sapiência,Galanga Livre,5745,2021-06-01 16:47:00
Flora Matos,O Jeito,17494,2021-06-01 16:47:00
Black Alien,Aniversário de Sobriedade,164902,2021-06-01 16:47:00
ADL,Favela Vive 3,3517,2021-06-01 16:51:00
Emicida,A Ordem Natural das Coisas (feat. Mc Tha),227906,2021-06-01 16:51:00
MV Bill,Nóiz Mermo,271023,2021-06-01 16:55:00
Black Alien,Rolo Compressor,11072,2021-06-01 16:56:00
Baco Exu do Blues,Humanos Não Matam Deuses,663,2021-06-01 16:56:00
Baco Exu do Blues,Humanos Não Matam Deuses,6458,2021-06-01 16:56:00
Planet Hemp,Stab,10912,2021-06-01 16:56:00
Rincon Sapiência,Mundo Manicongo,2268,2021-06-01 16:56:00
Rincon Sapiência,Mundo Manicongo,924,2021-06-01 16:56:00
Baco Exu do Blues,Humanos Não Matam Deuses,93350,2021-06-01 16:58:00
Planet Hemp,Stab,43654,2021-06-01 16:58:00
Sabotage,Monstro Invisível,9590,2021-06-01 16:59:00
Criolo,Vasilhame,172440,2021-06-01 17:01:00
Rincon Sapiência,Real Oficial,5271,2021-06-01 17:01:00
Black Alien,Sangue de Free,2930,2021-06-01 17:02:00
Rico Dalasam,Mudou Como?,2520,2021-06-01 17:02:00
Emicida,Levanta e Anda,150439,2021-06-01 17:04:00
Drik Barbosa,Seu abraço,6564,2021-06-01 17:04:00
509-E,Oitavo Anjo,5050,2021-06-01 17:04:00
Rincon Sapiência,Só Moleque Bom,2137,2021-06-01 17:04:00
Black Alien,Que Nem o Meu Cachorro,211363,2021-06-01 17:08:00
Rico Dalasam,Braille,56164,2021-06-01 17:09:00
Rincon Sapiência,Fé no Jogo,6769,2021-06-01 17:14:00
Emicida,Ooorra - Ao Vivo,284693,2021-06-01 17:14:00
ConeCrewDiretoria,"Rap, Cerva, Erva e Muita Larica",6608,2021-06-01 17:17:00
FBC,SE EU NÃO TE CANTAR,158936,2021-06-01 17:17:00
Don L,Depois das Três,173298,2021-06-01 17:20:00
Rashid,Vício,109819,2021-06-01 17:21:00
Rincon Sapiência,Sensação,3397,2021-06-01 17:22:00
Rincon Sapiência,Malícia,2122,2021-06-01 17:23:00
