artista,musica,tempo,data
FBC,Auto Ajuda,170649,2021-03-06 14:19:00
Sidoka,Olha Pro Oclin,221473,2021-03-06 14:23:00
Djonga,Gelo (prod. Coyote Beatz),229088,2021-03-06 14:27:00
Garena Free Fire,Capa E Tchau,43462,2021-03-06 14:31:00
FBC,Frank & Tikão,228995,2021-03-06 14:31:00
FBC,17 Anos,215111,2021-03-06 14:35:00
Djonga,"Irmãos de Arma, Irmãos de Luta",1323,2021-03-06 14:36:00
FBC,pra você e pra mim,1128,2021-03-06 14:36:00
FBC,Baile de Ladrão,5368,2021-03-06 14:36:00
FBC,CONFIO,65517,2021-03-06 14:36:00
FBC,MONEY MANIN,179200,2021-03-06 14:40:00
FBC,Gameleira,33580,2021-03-06 14:41:00
FBC,se brotar,9752,2021-03-06 14:43:00
FBC,Superstar,125794,2021-03-06 14:43:00
FBC,IPHONE,231111,2021-03-06 14:47:00
FBC,Ela É Green,1471,2021-03-06 14:49:00
FBC,Levar a Sério,105635,2021-03-06 14:49:00
FBC,leve 3,35091,2021-03-06 15:06:00
FBC,leve 3,137344,2021-03-06 16:59:00
FBC,THC,90001,2021-03-06 17:01:00
FBC,THC,251806,2021-03-10 20:16:00
FBC,se brotar,82840,2021-03-10 20:17:00
FBC,Ela É Green,215179,2021-03-10 20:21:00
FBC,Ixquece,29834,2021-03-10 20:23:00
FBC,Champs-Élysées,92838,2021-03-10 20:23:00
FBC,IPHONE,4373,2021-03-10 20:23:00
FBC,leve 3,2311,2021-03-10 20:23:00
Djonga,Gelo (prod. Coyote Beatz),2080,2021-03-10 20:24:00
Sidoka,Olha Pro Oclin,2375,2021-03-10 20:24:00
FBC,Sincero Foda-Se,30643,2021-03-10 20:24:00
Pineapple StormTv,Poetas no Topo 2,523467,2021-03-10 20:33:00
FBC,De Kenner,17949,2021-03-10 20:35:00
FBC,SE EU NÃO TE CANTAR,158936,2021-03-10 20:35:00
FBC,Auto Ajuda,170649,2021-03-10 20:39:00
FBC,Frank & Tikão,228995,2021-03-10 20:43:00
FBC,$ENHOR,254350,2021-03-10 20:47:00
Garena Free Fire,Capa E Tchau,18339,2021-03-10 20:48:00
FBC,17 Anos,1710,2021-03-10 20:48:00
FBC,pra você e pra mim,2063,2021-03-10 20:48:00
FBC,Gameleira,2156,2021-03-10 20:48:00
FBC,vale grana,4188,2021-03-10 20:48:00
FBC,Baile de Ladrão,1067,2021-03-10 20:48:00
FBC,MONEY MANIN,19780,2021-03-10 20:48:00
FBC,CONFIO,2778,2021-03-10 20:48:00
LEALL,Cadeia ou Morte?,140571,2021-03-10 20:51:00
Pineapple StormTv,Aulas e Palestras,193600,2021-03-10 20:54:00
